Price,price,rolling_30,rolling_90,returns
Ticker,ZAR=X,,,
Date,,,,
2024-09-06,17.692630767822266,18.03433494567871,18.230490239461265,-0.009827500755489438
2024-09-09,17.819599151611328,18.01930160522461,18.22256022559272,0.007176342820649495
2024-09-10,17.863000869750977,18.003728294372557,18.215785789489747,0.0024356169726591492
2024-09-11,17.93720054626465,17.991475677490236,18.20958023071289,0.004153819229742117
2024-09-12,17.89419937133789,17.981415685017904,18.20212067498101,-0.0023973180662081317
2024-09-13,17.738800048828125,17.963302357991537,18.194201236300998,-0.00868434062261969
2024-09-16,17.72566032409668,17.942738024393716,18.186571905348035,-0.0007407335724669561
2024-09-17,17.607999801635742,17.91419137318929,18.178419007195366,-0.006637863995452187
2024-09-18,17.57859992980957,17.883885701497395,18.169524553087022,-0.0016696883324271994
2024-09-19,17.52829933166504,17.855117670694987,18.161512332492403,-0.0028614678270953986
2024-09-20,17.500499725341797,17.82707799275716,18.154150115119087,-0.0015859842302567984
2024-09-23,17.390649795532227,17.79694964090983,18.145689561631944,-0.006276959603073506
2024-09-24,17.324800491333008,17.766366322835285,18.136519559224446,-0.0037864775021883013
2024-09-25,17.22949981689453,17.738379669189452,18.127398448520236,-0.005500823774920338
2024-09-26,17.264400482177734,17.712249692281087,18.116148461235895,0.0020256342699502827
2024-09-27,17.175500869750977,17.685709698994955,18.101838472154405,-0.00514930202867625
2024-09-30,17.087600708007812,17.660301717122397,18.087090259128146,-0.005117764099559441
2024-10-01,17.280550003051758,17.64609006245931,18.075748591952852,0.011291772223675833
2024-10-02,17.403600692749023,17.633076731363932,18.066102600097658,0.0071207623412179455
2024-10-03,17.34280014038086,17.61718006134033,18.054117054409453,-0.0034935616739066866
2024-10-04,17.48390007019043,17.599859746297202,18.040534824795195,0.00813593702674531
2024-10-07,17.47330093383789,17.590959803263345,18.026158714294432,-0.0006062226568436246
2024-10-08,17.37310028076172,17.580173174540203,18.013458718193903,-0.0057345005076933075
2024-10-09,17.579059600830078,17.57574882507324,18.00087261199951,0.011855070007074753
2024-10-10,17.639999389648438,17.569542821248373,17.98648938073052,0.0034666125607472065
2024-10-11,17.516359329223633,17.562511444091797,17.970515145195854,-0.007009073962743972
2024-10-14,17.458560943603516,17.550406837463377,17.954652489556207,-0.003299680289367446
2024-10-15,17.542600631713867,17.541996828715007,17.941549152798125,0.004813666394488436
2024-10-16,17.642200469970703,17.532106844584145,17.9315524843004,0.005677598227755265
2024-10-17,17.633399963378906,17.524279149373374,17.92346403333876,-0.0004988327055219788
2024-10-18,17.64590072631836,17.52272148132324,17.914917034573026,0.000708925276204031
2024-10-21,17.579200744628906,17.514708201090496,17.90647593604194,-0.0037799136878273742
2024-10-22,17.599700927734375,17.50593153635661,17.899478721618653,0.001166161272248445
2024-10-23,17.523799896240234,17.492151514689127,17.89393316904704,-0.004312631891064234
2024-10-24,17.776199340820312,17.488218180338542,17.892352040608724,0.014403237087535548
2024-10-25,17.654399871826172,17.485404841105144,17.88883548312717,-0.006851828484756406
2024-10-28,17.65553092956543,17.48306719462077,17.885064718458388,6.40666206424001e-05
2024-10-29,17.69202995300293,17.485868199666342,17.8806001663208,0.0020672855199375118
2024-10-30,17.648000717163086,17.48818155924479,17.874046177334257,-0.002488648049816966
2024-10-31,17.64529037475586,17.492081260681154,17.868468284606934,-0.000153577872681665
2024-11-01,17.595699310302734,17.49525458017985,17.8591549343533,-0.0028104419592931418
2024-11-04,17.56399917602539,17.501032892862955,17.853852695888943,-0.0018015842234120338
2024-11-05,17.502399444580078,17.506952857971193,17.84440712398953,-0.003507158638984431
2024-11-06,17.369699478149414,17.51162618001302,17.830852678087023,-0.007581815673379344
2024-11-07,17.665700912475586,17.525002861022948,17.822632683648003,0.017041252480996194
2024-11-08,17.282550811767578,17.528571192423502,17.81180968814426,-0.021688927181905737
2024-11-11,17.613649368286133,17.546106147766114,17.80499579111735,0.019157968064130504
2024-11-12,17.90839958190918,17.56703446706136,17.80299801296658,0.016734193321331414
2024-11-13,18.10110092163086,17.590284474690755,17.802566909790038,0.010760388656747555
2024-11-14,18.225299835205078,17.619701131184897,17.803984027438695,0.0068614010889138655
2024-11-15,14.860369682312012,17.532250118255615,17.76936036215888,-0.18462961835026526
2024-11-18,18.166549682617188,17.555358409881592,17.771377574072943,0.22248302505155393
2024-11-19,17.938100814819336,17.574191761016845,17.768486478593616,-0.012575248012914875
2024-11-20,18.026399612426758,17.589103094736735,17.768509811825222,0.0049224161754333196
2024-11-21,18.10890007019043,17.604733117421468,17.768410926394992,0.004576646448401167
2024-11-22,18.097299575805664,17.624097792307534,17.76686758465237,-0.0006405963001508974
2024-11-25,17.997129440307617,17.642050075531007,17.76472569571601,-0.005535087435473818
2024-11-26,17.984699249267578,17.65678669611613,17.761947917938233,-0.0006906763148682993
2024-11-27,18.179899215698242,17.67470998764038,17.759619024064804,0.010853668650512072
2024-11-28,18.171199798583984,17.692636648813885,17.757651233673094,-0.0004785184456218561
2024-11-29,18.080699920654297,17.707129955291748,17.7547287940979,-0.004980401896012343
2024-12-02,18.091520309448242,17.72420727411906,17.752739026811387,0.0005984496640853987
2024-12-03,18.128400802612305,17.741830603281656,17.75049681133694,0.002038551350756368
2024-12-04,18.09830093383789,17.760980637868247,17.74820261001587,-0.0016603708789402205
2024-12-05,18.15488052368164,17.77360334396362,17.747745736440024,0.0031262376535006187
2024-12-06,18.008699417114258,17.78541332880656,17.744706842634415,-0.008051890309974774
2024-12-09,18.002099990844727,17.796965630849204,17.74092361662123,-0.00036645768340493046
2024-12-10,17.774030685424805,17.7996989885966,17.73325285381741,-0.012669038919676634
2024-12-11,17.801300048828125,17.804808966318767,17.725625409020317,0.0015342250661063428
2024-12-12,17.686100006103516,17.806169287363687,17.71778940624661,-0.006471439861618022
2024-12-13,17.77440071105957,17.812126000722248,17.711486191219755,0.004992661181695279
2024-12-16,17.822280883789062,17.82073539098104,17.706239308251273,0.002693771424861602
2024-12-17,17.837099075317383,17.83189204533895,17.701737075381807,0.000831441925135401
2024-12-18,18.079700469970703,17.855558745066325,17.701854864756267,0.013600944504985613
2024-12-19,18.32200050354004,17.877435398101806,17.704895983801947,0.013401772555456937
2024-12-20,18.391599655151367,17.914403692881265,17.709561528099908,0.003798665522243727
2024-12-23,18.271150588989258,17.93632040023804,17.714242755042182,-0.0065491348452864084
2024-12-24,18.535310745239258,17.957217439015707,17.72344732284546,0.014457773469898072
2024-12-25,18.678489685058594,17.976463731129964,17.73327497906155,0.007724658182820754
2024-12-26,18.688199996948242,17.9918937365214,17.742924976348878,0.0005198660091567664
2024-12-27,18.835800170898438,18.12440808614095,17.752172650231255,0.007898041222498486
2024-12-30,18.654499053955078,18.140673065185545,17.76233042611016,-0.009625347227004033
2024-12-31,18.76490020751953,18.16823304494222,17.774199326833088,0.005918205213934602
2025-01-02,18.82015037536621,18.19469140370687,17.786514441172283,0.0029443358203706804
2025-01-03,18.739599227905273,18.21571470896403,17.79666354921129,-0.004280048025884553
2025-01-06,18.75200080871582,18.23753808339437,17.8080491065979,0.000661784740416449
2025-01-07,18.54509925842285,18.25580374399821,17.8160868856642,-0.011033571958721455
2025-01-08,18.683300018310547,18.279090436299644,17.825957987043594,0.007452144524108029
2025-01-09,18.90591049194336,18.303290812174478,17.836702548133,0.011914944009604467
2025-01-10,18.935609817504883,18.32877114613851,17.848562314775254,0.0015709016275191612
2025-01-13,19.090150833129883,18.362419509887694,17.864090315500896,0.008161396285327749
2025-01-14,18.98550033569336,18.392218844095865,17.877044773101808,-0.005481910454835592
2025-01-15,16.498899459838867,18.337902132670084,17.86188809076945,-0.13097368159318934
2025-01-16,18.756999969482422,18.359858767191568,17.870996973249646,0.1368637050695507
2025-01-17,15.43019962310791,18.269036070505777,17.843619198269316,-0.17736313652434854
2025-01-20,18.731700897216797,18.29313611984253,17.85465142991808,0.21396361387085583
2025-01-21,18.495670318603516,18.309588464101157,17.86320709652371,-0.012600595103904877
2025-01-22,18.47960090637207,18.333107471466064,17.872891553243,-0.0008688202133059209
2025-01-23,18.493900299072266,18.356194146474202,17.88306155734592,0.0007737933720886048
2025-01-24,18.504539489746094,18.383475462595623,17.893908670213488,0.0005752810657448926
2025-01-27,18.479080200195312,18.406964778900146,17.904781786600747,-0.0013758402128779545
2025-01-28,18.741500854492188,18.43760544459025,17.919791242811414,0.01420095867618465
2025-01-29,18.65959930419922,18.465022118886314,17.93462234073215,-0.004370063578624128
2025-01-30,18.518299102783203,18.479642073313396,17.94894233279758,-0.0075725206695202996
2025-01-31,18.56730079650879,18.48781874974569,17.963419002956815,0.0026461228136347437
2025-02-03,18.99449920654297,18.50791540145874,17.983630095587838,0.02300810520151142
2025-02-04,18.733409881591797,18.523324044545493,18.001916864183215,-0.013745522959680678
2025-02-05,18.65938949584961,18.52746000289917,18.01723730299208,-0.00395124999720009
2025-02-06,18.532800674438477,18.522603702545165,18.029783969455295,-0.006784188809568992
2025-02-07,18.43779945373535,18.514257017771403,18.041950628492568,-0.00512611247333794
2025-02-10,18.525070190429688,18.503899351755777,18.053519185384115,0.004733251216519463
2025-02-11,18.419830322265625,18.496077060699463,18.064036178588868,-0.005680943018420037
2025-02-12,18.497589111328125,18.487166690826417,18.076530498928495,0.004221471517493081
2025-02-13,18.511869430541992,18.476890659332277,18.08689505259196,0.0007720097536993986
2025-02-14,18.481199264526367,18.468277327219646,18.09624171786838,-0.0016567838343232166
2025-02-17,18.34600067138672,18.454743989308675,18.105459955003525,-0.007315466448065133
2025-02-18,18.406410217285156,18.450121021270753,18.115991613599988,0.0032927910000928318
2025-02-19,18.395200729370117,18.440517711639405,18.125464948018394,-0.0006089991357746127
2025-02-20,18.510400772094727,18.427334054311117,18.135111618041993,0.006262505336007473
2025-02-21,18.319000244140625,18.406780401865642,18.142729398939345,-0.0103401612050803
2025-02-24,18.36716079711914,18.382680733998615,18.15074339972602,0.002628994614153113
2025-02-25,18.361499786376953,18.36188071568807,18.159435611301,-0.00030821370840694584
2025-02-26,18.410999298095703,18.4256173769633,18.168450037638348,0.0026958316202185806
2025-02-27,18.366249084472656,18.412592347462972,18.177810584174264,-0.002430623829727474
